Liste des imposables :
+--------+--------------------+------------------------------+------------+------------+------------+------------+------+
|Contrib.|Nom Prenom          |Lieu                          |Total       |Commune     |Dept.       |Region      |Occs  |
|09236131|Guillaume, Maxime   |SAINT-BIEZ-EN-BELIN, SARTHE, P|   12 233.00|    3 947.00|    3 582.00|    4 704.00|     4|
|09486734|Mallet, Arnaud      |FONTAINE-LA-RIVIERE, ESSONNE, |   52 964.00|   15 889.00|   10 593.00|   26 482.00|     1|
|09654960|Roussel, Agnes      |GUIGNEVILLE, LOIRET, CENTRE   |   20 194.00|    6 153.00|    4 419.00|    9 622.00|     3|
|09861619|Hamon, Laure        |LAIGNE, MAYENNE, PAYS         |   16 592.00|    5 508.00|    5 236.00|    5 848.00|     5|
|10007732|Hamon, Nathalie     |BRUNVILLERS-LA-MOTTE, OISE, PI|   53 118.00|   16 524.00|   13 107.00|   23 487.00|     4|
|10034778|Weber, Christophe   |CORNUSSE, CHER, CENTRE        |    3 273.00|    1 091.00|    1 091.00|    1 091.00|     2|
|10447845|Guillot, Jean-Marc  |SASSIS, HAUTES-PYRENEES, MIDI-|    3 648.00|    1 224.00|    1 212.00|    1 212.00|     1|
|10618732|Carpentier, Stephane|OMONT, ARDENNES, CHAMPAGNE-ARD|   52 888.00|   16 301.00|   12 361.00|   24 226.00|     6|
|11367500|Guillaume, Michele  |ARRELLES, AUBE, CHAMPAGNE-ARDE|    5 058.00|    1 672.00|    1 630.00|    1 756.00|     2|
|11804886|Marie, Agnes        |SAILLY, HAUTE-MARNE, CHAMPAGNE|   14 803.00|    4 843.00|    4 625.00|    5 335.00|     5|
|13171421|Rodriguez, Pascale  |JUILLAC, GIRONDE, AQUITAINE   |  128 004.00|   38 901.00|   27 633.00|   61 470.00|     8|
|13249378|Bonnet, Maryse      |LES AUTHIEUX-SUR-LE-PORT-SAINT|   77 840.00|   23 688.00|   16 789.00|   37 363.00|     5|
|13363126|Le Roux, Loic       |TAUSSAC, AVEYRON, MIDI-PYRENEE|   39 756.00|   12 268.00|    9 315.00|   18 173.00|     4|
|13469182|Pasquier, Maxime    |VERTOLAYE, PUY-DE-DOME, AUVERG|  106 185.00|   32 092.00|   22 472.00|   51 621.00|     6|
|13831091|Garcia, Joel        |VOUILLE-LES-MARAIS, VENDEE, PA|   59 776.00|   18 590.00|   14 488.00|   26 698.00|     5|
|13975135|Noel, Daniel        |CRESSIN-ROCHEFORT, AIN, RHONE-|   38 980.00|   12 083.00|    9 317.00|   17 580.00|     6|
|14656942|Langlois, Louis     |LE DETROIT, CALVADOS, BASSE-NO|   43 104.00|   13 249.00|   10 402.00|   19 453.00|     3|
|15149589|Richard, Quentin    |REIGNAC-SUR-INDRE, INDRE-ET-LO|   47 016.00|   14 253.00|    9 995.00|   22 768.00|     4|
|15250782|Gaillard, Jacques   |VITRY-LES-NOGENT, HAUTE-MARNE,|   50 803.00|   15 547.00|   11 704.00|   23 552.00|     4|
|15421720|Garnier, Thierry    |SAINT-GEORGES-D'OLERON, CHAREN|   30 570.00|    9 171.00|    6 114.00|   15 285.00|     2|
|15471596|Robert, Jean-Pierre |ALEXAIN, MAYENNE, PAYS        |  131 511.00|   40 259.00|   29 557.00|   61 695.00|     9|
|15598420|Delaunay, Brigitte  |VOLVENT, DROME, RHONE-ALPES   |   10 934.00|    3 064.00|    3 999.00|    3 871.00|     2|
|16006637|Rey, Remi           |PEYRIERE, LOT-ET-GARONNE, AQUI|   72 620.00|   22 255.00|   16 351.00|   34 014.00|     5|
|16181573|Carlier, Pierre     |CHATILLON, RHONE, RHONE-ALPES |   18 895.00|    6 607.00|    6 367.00|    5 921.00|     5|
|16414117|Leroux, Enzo        |VAUDREUILLE, HAUTE-GARONNE, MI|   12 461.00|    4 178.00|    4 168.00|    4 115.00|     3|
|16494431|Daniel, Philippe    |POMMERET, COTES-D'ARMOR, BRETA|  108 955.00|   33 399.00|   24 290.00|   51 266.00|     5|
|16680435|Paris, Lucie        |MALAUCENE, VAUCLUSE, PROVENCE-|   20 026.00|    6 129.00|    4 531.00|    9 366.00|     2|
|16920255|Leger, Sophie       |CANTELOUP, MANCHE, BASSE-NORMA|    7 632.00|    2 544.00|    2 560.00|    2 528.00|     4|
|17012105|Lambert, Alexandre  |LA JONCHERE, VENDEE, PAYS     |    4 001.00|    1 275.00|    1 100.00|    1 626.00|     4|
|17203181|Remy, Claude        |SAINT-MARTIN-DE-CARALP, ARIEGE|    8 197.00|    2 715.00|    2 663.00|    2 819.00|     2|
|17524069|Durand, Alexandre   |GRAND'LANDES, VENDEE, PAYS    |   27 087.00|    8 466.00|    6 764.00|   11 857.00|     4|
|17660086|Guichard, Clara     |SERMIZELLES, YONNE, BOURGOGNE |   11 267.00|    3 760.00|    3 760.00|    3 747.00|     5|
|17718624|Millet, Jean-Paul   |PUYRAVAULT, VENDEE, PAYS      |   34 613.00|   10 427.00|    7 076.00|   17 110.00|     2|
|17824067|Weber, Rene         |LE CHEYLARD, ARDECHE, RHONE-AL|   12 766.00|    4 047.00|    3 497.00|    5 222.00|     4|
|18218172|Royer, Vanessa      |YZEURE, ALLIER, AUVERGNE      |   27 798.00|    9 290.00|    8 389.00|   10 119.00|     6|
|18249675|Fontaine, Laura     |VILLECIEN, YONNE, BOURGOGNE   |   18 581.00|    5 758.00|    4 452.00|    8 371.00|     5|
|18516247|Leroux, Claudine    |RENNES-LE-CHATEAU, AUDE, LANGU|   15 393.00|    5 049.00|    5 225.00|    5 119.00|     5|
|19040400|Daniel, Christiane  |VENASQUE, VAUCLUSE, PROVENCE-A|    4 418.00|    1 483.00|    1 482.00|    1 453.00|     3|
|19179761|Nicolas, Maryse     |AUXON-DESSOUS, DOUBS, FRANCHE-|   28 976.00|    9 270.00|    7 554.00|   12 152.00|     4|
|19440206|Berger, Sylvie      |MARMAGNE, SAONE-ET-LOIRE, BOUR|    6 563.00|    2 123.00|    2 220.00|    2 220.00|     2|
|19449282|Nicolas, Christine  |GUENROUET, LOIRE-ATLANTIQUE, P|    8 263.00|    2 767.00|    2 767.00|    2 729.00|     1|
|19651147|Pelletier, Anne-mari|METZ-EN-COUTURE, PAS-DE-CALAIS|   71 360.00|   21 591.00|   15 136.00|   34 633.00|     4|
|19696185|Fleury, Frederic    |HOLVING, MOSELLE, LORRAINE    |   45 363.00|   14 063.00|   10 750.00|   20 550.00|     5|
|19966291|Remy, Julie         |SAINT-PARDOUX-CORBIER, CORREZE|    5 877.00|    1 959.00|    1 959.00|    1 959.00|     1|
|20182496|Poirier, Ludovic    |SAINT-LAURENT-DE-GOSSE, LANDES|   20 221.00|    6 489.00|    5 447.00|    8 285.00|     3|
|20204903|Vincent, Mathilde   |PONT-AUDEMER, EURE, HAUTE-NORM|  121 350.00|   36 939.00|   25 664.00|   58 747.00|     5|
|20648001|Lecomte, Patrick    |NOELLET, MAINE-ET-LOIRE, PAYS |   19 763.00|    6 307.00|    5 443.00|    8 013.00|     4|
|21043396|Tessier, Claire     |REILHAGUET, LOT, MIDI-PYRENEES|   59 982.00|   18 050.00|   12 218.00|   29 714.00|     4|
|21062857|Dubois, Didier      |IRE-LE-SEC, MEUSE, LORRAINE   |   55 897.00|   17 047.00|   12 276.00|   26 574.00|     4|
|21315489|Da Silva, Chantal   |LA VERPILLIERE, ISERE, RHONE-A|    6 986.00|    2 569.00|    2 199.00|    2 218.00|     1|
|21326439|Olivier, Bernadette |GLATIGNY, OISE, PICARDIE      |   57 583.00|   17 536.00|   12 653.00|   27 394.00|     4|
|21832264|Lucas, Baptiste     |SAINT-JORES, MANCHE, BASSE-NOR|    7 686.00|    2 580.00|    2 562.00|    2 544.00|     3|
|21888816|Colin, Benjamin     |BARCUS, PYRENEES-ATLANTIQUES, |    5 987.00|    1 971.00|    1 988.00|    2 028.00|     3|
|22124774|Dufour, Celine      |FAIN-LES-MOUTIERS, COTE-D'OR, |   63 887.00|   19 666.00|   14 765.00|   29 456.00|     5|
|22236205|Marchand, Ines      |AUTEUIL, YVELINES, ILE-DE-FRAN|   89 035.00|   27 206.00|   20 502.00|   41 327.00|     6|
|22536550|Bailly, Julie       |JUNIVILLE, ARDENNES, CHAMPAGNE|   86 969.00|   26 707.00|   19 518.00|   40 744.00|     5|
|22626383|Charles, Thierry    |PLAGNE, AIN, RHONE-ALPES      |   68 942.00|   20 825.00|   14 669.00|   33 448.00|     4|
|23209454|Barthelemy, Pauline |SAINT-MALO-DU-BOIS, VENDEE, PA|   47 333.00|   14 377.00|   10 455.00|   22 501.00|     4|
|23441679|Collet, Didier      |BOCQUEGNEY, VOSGES, LORRAINE  |   13 497.00|    4 476.00|    4 408.00|    4 613.00|     3|
|23515040|Gerard, Remi        |AUVILLARS-SUR-SAONE, COTE-D'OR|  117 840.00|   35 492.00|   24 129.00|   58 219.00|     5|
|23875166|Bouchet, Pascal     |SAINT-ROBERT, CORREZE, LIMOUSI|   79 551.00|   24 453.00|   17 427.00|   37 671.00|     5|
|23928330|Blanc, Nicole       |DAMGAN, MORBIHAN, BRETAGNE    |   23 341.00|    7 478.00|    6 293.00|    9 570.00|     3|
|23955019|Bouvier, Joel       |SAINT-MARTIN-DE-BROMES, ALPES-|   56 103.00|   17 328.00|   11 969.00|   26 806.00|     5|
|24261186|Da Silva, Antoine   |HYERES, VAR, PROVENCE-ALPES-CO|   74 174.00|   22 990.00|   16 892.00|   34 292.00|     8|
|24527164|Antoine, Lionel     |PUY-D'ARNAC, CORREZE, LIMOUSIN|   86 510.00|   26 768.00|   19 997.00|   39 745.00|     8|
|24649212|Collet, Sandra      |TROUHAUT, COTE-D'OR, BOURGOGNE|    5 572.00|    1 727.00|    1 337.00|    2 508.00|     2|
|24683068|Martin, Clement     |CHAMPTONNAY, HAUTE-SAONE, FRAN|  103 972.00|   31 382.00|   21 556.00|   51 034.00|     3|
|24897586|Adam, Danielle      |TRIMER, ILLE-ET-VILAINE, BRETA|   42 889.00|   13 614.00|   11 571.00|   17 704.00|     6|
|25398246|David, Pierre       |VENDEGIES-SUR-ECAILLON, NORD, |   36 657.00|   11 891.00|   11 410.00|   13 356.00|     8|
|26158316|Laporte, Matthieu   |BAGIRY, HAUTE-GARONNE, MIDI-PY|   13 879.00|    4 427.00|    4 618.00|    4 834.00|     5|
|26513120|Royer, Alain        |NEUVELLE-LES-VOISEY, HAUTE-MAR|   94 338.00|   28 626.00|   20 181.00|   45 531.00|     5|
|26685513|Delaunay, Pierre    |DONZAC, TARN-ET-GARONNE, MIDI-|   11 910.00|    4 062.00|    4 018.00|    3 830.00|     2|
|26932097|Besson, Pascal      |DOMPIERRE-LES-TILLEULS, DOUBS,|    1 680.00|      502.00|      577.00|      601.00|     1|
|27062160|Cousin, Francois    |SAINT-ALYRE-ES-MONTAGNE, PUY-D|   11 393.00|    3 509.00|    3 942.00|    3 942.00|     4|
|28302145|Charles, Raphael    |SAINT-PATHUS, SEINE-ET-MARNE, |  142 860.00|   43 024.00|   29 033.00|   70 803.00|     6|
|28455899|Arnaud, Philippe    |MOITA, HAUTE-CORSE, CORSE     |  119 208.00|   35 944.00|   24 814.00|   58 450.00|     6|
|28697516|Perret, Jocelyne    |NANT-LE-PETIT, MEUSE, LORRAINE|   14 649.00|    4 883.00|    4 883.00|    4 883.00|     3|
|28741466|Barthelemy, Jocelyne|CESSIEU, ISERE, RHONE-ALPES   |    5 202.00|    1 734.00|    1 734.00|    1 734.00|     1|
|29002209|Guichard, Fanny     |RILLY-SUR-LOIRE, LOIR-ET-CHER,|   12 524.00|    4 172.00|    4 030.00|    4 322.00|     3|
|29353559|Riviere, Clement    |PONT-SUR-SAMBRE, NORD, NORD-PA|   45 299.00|   14 116.00|   11 495.00|   19 688.00|     5|
|29622637|Clement, Cecile     |SAINT-BERNARD, AIN, RHONE-ALPE|    8 722.00|    2 964.00|    2 879.00|    2 879.00|     3|
|29639902|Marty, Cyril        |OUVILLE-LA-RIVIERE, SEINE-MARI|    5 330.00|    1 769.00|    1 781.00|    1 780.00|     2|
|30302648|Pichon, Frederic    |LA LANDE-SUR-EURE, ORNE, BASSE|   69 114.00|   21 078.00|   15 543.00|   32 493.00|     5|
|30614720|Bertrand, Enzo      |GUCHAN, HAUTES-PYRENEES, MIDI-|   52 853.00|   15 842.00|   11 003.00|   26 008.00|     2|
|30940824|Gauthier, Jean-Marc |CHAMPAGNEY, HAUTE-SAONE, FRANC|   57 425.00|   17 383.00|   12 312.00|   27 730.00|     3|
|31031541|Laurent, Morgane    |LE RIBAY, MAYENNE, PAYS       |   10 383.00|    3 372.00|    3 469.00|    3 542.00|     2|
|31148347|Collet, Angelique   |GIVERNY, EURE, HAUTE-NORMANDIE|   81 322.00|   24 490.00|   16 626.00|   40 206.00|     4|
|31159124|David, Didier       |GURGY, YONNE, BOURGOGNE       |   89 150.00|   27 506.00|   20 400.00|   41 244.00|     9|
|31487098|Benard, Joel        |AUBERMESNIL-BEAUMAIS, SEINE-MA|  111 894.00|   33 990.00|   24 048.00|   53 856.00|     5|
|31781157|Rolland, Christelle |FLEAC, CHARENTE, POITOU-CHAREN|   35 727.00|   11 645.00|   10 556.00|   13 526.00|     7|
|31902615|Jacquet, Christiane |MAROMME, SEINE-MARITIME, HAUTE|   14 582.00|    5 343.00|    4 626.00|    4 613.00|     4|
|32095948|Klein, Claire       |VAUCELLES, CALVADOS, BASSE-NOR|   59 542.00|   18 165.00|   13 078.00|   28 299.00|     7|
|32126138|Philippe, Lucas     |SAINT-OMER-CAPELLE, PAS-DE-CAL|   25 411.00|    7 788.00|    5 740.00|   11 883.00|     4|
|32216402|Marchal, Anne       |LES MONTHAIRONS, MEUSE, LORRAI|   13 548.00|    4 089.00|    2 809.00|    6 650.00|     2|
|32370726|Daniel, Mathilde    |CROZON-SUR-VAUVRE, INDRE, CENT|   80 628.00|   24 605.00|   18 073.00|   37 950.00|     6|
|32643427|Cousin, Amelie      |BREN, DROME, RHONE-ALPES      |  148 218.00|   44 521.00|   29 871.00|   73 826.00|     4|
|32676569|Besson, Alain       |FROGES, ISERE, RHONE-ALPES    |    8 066.00|    2 680.00|    2 346.00|    3 040.00|     4|
|33046985|Deschamps, Guy      |LAMPERTSLOCH, BAS-RHIN, ALSACE|   23 343.00|    7 606.00|    7 501.00|    8 236.00|     5|
|33103345|Germain, Patricia   |SAINT-MONTAN, ARDECHE, RHONE-A|    3 216.00|    1 068.00|    1 066.00|    1 082.00|     4|
|33224562|Marechal, Bruno     |VALSONNE, RHONE, RHONE-ALPES  |   35 650.00|   10 915.00|    8 307.00|   16 428.00|     4|
|33254118|Prevost, Lionel     |SAINT-GENEST-D'AMBIERE, VIENNE|   15 851.00|    5 288.00|    5 275.00|    5 288.00|     3|
|33452146|Menard, Dominique   |LA POMMERAYE, CALVADOS, BASSE-|   14 151.00|    4 624.00|    4 782.00|    4 745.00|     4|
|33470816|Guyot, Cecile       |BREVANS, JURA, FRANCHE-COMTE  |  100 548.00|   31 041.00|   22 443.00|   47 064.00|     7|
|33541933|Renard, Emmanuelle  |ROHAN, MORBIHAN, BRETAGNE     |  208 786.00|   62 637.00|   41 763.00|  104 386.00|     5|
|34039073|Charles, Julien     |BARJAC, ARIEGE, MIDI-PYRENEES |   46 529.00|   14 576.00|   11 179.00|   20 774.00|     6|
|34189210|Marechal, Manon     |SAINT-JEAN-DU-CARDONNAY, SEINE|   15 812.00|    5 263.00|    5 286.00|    5 263.00|     3|
|34302005|Bourgeois, Clara    |SORNAC, CORREZE, LIMOUSIN     |   28 987.00|    8 908.00|    7 579.00|   12 500.00|     4|
|34721298|Etienne, Sebastien  |MOLIERES-GLANDAZ, DROME, RHONE|   56 093.00|   16 834.00|   11 244.00|   28 015.00|     3|
|34817564|Poirier, Genevieve  |LE MESNIL-SUR-BULLES, OISE, PI|   18 524.00|    6 153.00|    6 214.00|    6 157.00|     5|
|35109360|Jacob, Mathieu      |AMENUCOURT, VAL-D'OISE, ILE-DE|   18 816.00|    6 037.00|    5 377.00|    7 402.00|     6|
|35891210|Dumas, Beatrice     |TRANS-EN-PROVENCE, VAR, PROVEN|    9 863.00|    3 072.00|    2 364.00|    4 427.00|     2|
|36384417|Girard, Thomas      |CHEVRAINVILLIERS, SEINE-ET-MAR|   81 607.00|   24 593.00|   16 899.00|   40 115.00|     5|
|36491063|Bouchet, Lea        |CAUDIES-DE-CONFLENT, PYRENEES-|   44 695.00|   13 068.00|   10 329.00|   21 298.00|     3|
|37081663|Lacroix, Marine     |NOCE, ORNE, BASSE-NORMANDIE   |  186 722.00|   56 046.00|   37 462.00|   93 214.00|     5|
|38171029|Lamy, Francoise     |NANCUISE, JURA, FRANCHE-COMTE |   37 133.00|   11 649.00|    9 500.00|   15 984.00|     5|
|38260866|Roussel, Laurent    |VINCEY, VOSGES, LORRAINE      |   11 617.00|    3 907.00|    3 793.00|    3 917.00|     4|
|38611427|Perrin, Julie       |CHAUFFAILLES, SAONE-ET-LOIRE, |   16 780.00|    5 270.00|    4 234.00|    7 276.00|     3|
|39076216|Boulanger, Danielle |DRUMETTAZ-CLARAFOND, SAVOIE, R|  168 585.00|   51 729.00|   36 005.00|   80 851.00|     9|
|39107533|Vasseur, Christian  |MARCHES, DROME, RHONE-ALPES   |   27 532.00|    8 908.00|    7 309.00|   11 315.00|     4|
|39202850|Richard, Marine     |HAYNECOURT, NORD, NORD-PAS-DE-|    4 582.00|    1 531.00|    1 531.00|    1 520.00|     2|
|39786892|Germain, Laure      |TOURNAY-SUR-ODON, CALVADOS, BA|  108 352.00|   32 693.00|   22 454.00|   53 205.00|     4|
|39826330|Chauvin, Paul       |MONTDOUMERC, LOT, MIDI-PYRENEE|   10 638.00|    3 652.00|    3 572.00|    3 414.00|     3|
|39925966|Berger, Christelle  |MEZANGERS, MAYENNE, PAYS      |   28 495.00|    8 548.00|    5 699.00|   14 248.00|     2|
|40309825|Martin, Valerie     |DAINVILLE, PAS-DE-CALAIS, NORD|   11 613.00|    3 888.00|    3 854.00|    3 871.00|     2|
|40330886|Huet, Marine        |SAINT-URCISSE, LOT-ET-GARONNE,|    3 073.00|    1 022.00|    1 029.00|    1 022.00|     1|
|40424394|Laporte, Sebastien  |FRESNES-AU-MONT, MEUSE, LORRAI|    7 341.00|    2 441.00|    2 459.00|    2 441.00|     1|
|40453026|Lejeune, Xavier     |AUBY, NORD, NORD-PAS-DE-CALAIS|   16 660.00|    5 413.00|    4 675.00|    6 572.00|     3|
|40719214|Lejeune, Anne-marie |MONISTROL-D'ALLIER, HAUTE-LOIR|   38 877.00|   11 796.00|    8 384.00|   18 697.00|     3|
|40978144|Lacroix, Jacqueline |TOMBLAINE, MEURTHE-ET-MOSELLE,|   10 809.00|    3 529.00|    2 743.00|    4 537.00|     3|
|41014271|Boulanger, Vanessa  |WINDSTEIN, BAS-RHIN, ALSACE   |   35 303.00|   10 980.00|    8 915.00|   15 408.00|     5|
|41176125|Tessier, Caroline   |ORDAN-LARROQUE, GERS, MIDI-PYR|   62 307.00|   19 164.00|   14 188.00|   28 955.00|     4|
|41715191|Jean, Jean-Michel   |LES CHAPELLES, SAVOIE, RHONE-A|    6 667.00|    2 134.00|    2 231.00|    2 302.00|     3|
|41998390|Nicolas, Bruno      |CORMATIN, SAONE-ET-LOIRE, BOUR|   30 853.00|    9 272.00|    6 236.00|   15 345.00|     3|
|42268099|Clement, Kevin      |PEYRIGUERE, HAUTES-PYRENEES, M|    5 538.00|    1 846.00|    1 846.00|    1 846.00|     2|
|42476029|Blanchard, Mickael  |ORNEZAN, GERS, MIDI-PYRENEES  |   81 770.00|   24 841.00|   17 547.00|   39 382.00|     6|
|43144488|Garcia, Amelie      |CHALLAIN-LA-POTHERIE, MAINE-ET|   83 057.00|   25 029.00|   17 060.00|   40 968.00|     5|
|43525420|Poirier, Pascal     |MEGEVE, HAUTE-SAVOIE, RHONE-AL|  117 620.00|   35 400.00|   24 016.00|   58 204.00|     5|
|44143535|Humbert, Marion     |SANNOIS, VAL-D'OISE, ILE-DE-FR|  116 606.00|   35 454.00|   24 218.00|   56 934.00|     4|
|44251337|Riviere, Michele    |ALLEMANT, MARNE, CHAMPAGNE-ARD|    3 321.00|      996.00|      664.00|    1 661.00|     2|
|44283796|Brunet, Yannick     |DOUVRIN, PAS-DE-CALAIS, NORD-P|   90 207.00|   27 230.00|   18 625.00|   44 352.00|     4|
|44472013|Barbier, Laure      |ROUVROY-LES-MERLES, OISE, PICA|   30 456.00|    9 337.00|    6 901.00|   14 218.00|     3|
|44492792|Humbert, Carole     |TREHET, LOIR-ET-CHER, CENTRE  |   22 351.00|    7 110.00|    5 903.00|    9 338.00|     4|
|44498300|Bouvier, Marine     |PONT-D'OUILLY, CALVADOS, BASSE|   10 385.00|    3 450.00|    3 485.00|    3 450.00|     2|
|44703324|Lopez, Denis        |SAINT-PHILIBERT, MORBIHAN, BRE|    5 156.00|    1 746.00|    1 711.00|    1 699.00|     2|
|45018731|Prevost, Arnaud     |CHAMPGENETEUX, MAYENNE, PAYS  |   52 599.00|   15 975.00|   11 323.00|   25 301.00|     4|
|45262060|Schneider, Marine   |CHASPINHAC, HAUTE-LOIRE, AUVER|   17 375.00|    5 503.00|    4 694.00|    7 178.00|     3|
|46336790|Breton, Mireille    |SALLES-DE-BARBEZIEUX, CHARENTE|   32 814.00|   10 193.00|    7 943.00|   14 678.00|     5|
|46365108|Roger, Bernard      |CLEVILLE, CALVADOS, BASSE-NORM|  161 243.00|   49 195.00|   35 128.00|   76 920.00|     9|
|46490937|Rolland, Jeremy     |TRUMILLY, OISE, PICARDIE      |    3 213.00|    1 067.00|    1 079.00|    1 067.00|     2|
|46954453|Marty, Sandra       |TAGLIO-ISOLACCIO, HAUTE-CORSE,|  101 264.00|   30 779.00|   20 939.00|   49 546.00|     4|
|47496813|Masson, Brigitte    |MECRINGES, MARNE, CHAMPAGNE-AR|  115 992.00|   35 337.00|   25 390.00|   55 265.00|     7|
|47685730|Pelletier, Yves     |PLOMBIERES-LES-BAINS, VOSGES, |   27 262.00|    8 337.00|    6 283.00|   12 642.00|     5|
|47805553|Louis, Pascale      |GRIVESNES, SOMME, PICARDIE    |   19 934.00|    6 636.00|    6 662.00|    6 636.00|     5|
|47820949|Laporte, Pierre     |CHATEAUNEUF-LA-FORET, HAUTE-VI|   86 800.00|   26 391.00|   19 152.00|   41 257.00|     7|
|48076270|Fontaine, Jean-Claud|SAINT-REMY-AU-BOIS, PAS-DE-CAL|   12 733.00|    3 984.00|    3 304.00|    5 445.00|     3|
|48459285|Marie, Martine      |SAINT-CHRISTOPHE-DES-BOIS, ILL|   13 634.00|    4 502.00|    4 575.00|    4 557.00|     5|
|48709414|Adam, Adrien        |SAINT-GAL, LOZERE, LANGUEDOC-R|   22 463.00|    7 054.00|    6 851.00|    8 558.00|     7|
|48855116|Marie, Gilles       |LES AUTHIEUX-PAPION, CALVADOS,|   62 403.00|   18 929.00|   13 224.00|   30 250.00|     4|
|48880966|Gaillard, Agnes     |SOLUTRE-POUILLY, SAONE-ET-LOIR|  115 981.00|   35 121.00|   24 550.00|   56 310.00|     7|
|48932584|Muller, Benoit      |BOSGUERARD-DE-MARCOUVILLE, EUR|    6 197.00|    2 011.00|    1 861.00|    2 325.00|     3|
|49679310|Pasquier, Gerard    |BOISSY-LE-CHATEL, SEINE-ET-MAR|    4 787.00|    1 570.00|    1 555.00|    1 662.00|     1|
